City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
148,Ilulissat,GL,69.22,-51.1,39.2,86,6,3.36,clear sky
149,Ulvik,NO,60.57,6.92,48.0,76,99,1.99,light rain
150,Inhambane,MZ,-23.86,35.38,68.41,84,0,11.41,clear sky
151,Atasu,KZ,48.68,71.64,56.79,79,100,16.6,overcast clouds
152,Margate,GB,51.38,1.39,64.0,83,96,4.0,light rain
153,Susurluk,TR,39.91,28.16,73.4,88,0,4.7,clear sky
154,Galle,LK,6.04,80.22,79.54,83,95,5.95,overcast clouds
155,Zonguldak,TR,41.25,31.83,62.04,68,0,3.51,clear sky
156,Mazagao,BR,-0.12,-51.29,82.4,100,40,5.82,scattered clouds
157,Upernavik,GL,72.79,-56.15,42.49,91,100,1.32,light rain
158,Saint-Georges,GD,12.06,-61.75,80.74,79,87,6.38,overcast clouds
159,Nuevitas,CU,21.55,-77.26,84.2,79,86,8.05,overcast clouds
160,Raudeberg,NO,61.99,5.14,48.99,92,100,17.09,light rain
161,Khoy,IR,38.55,44.95,59.83,59,0,2.66,clear sky
162,Dawlatabad,AF,36.41,64.91,68.61,41,1,2.98,clear sky
163,Mgandu,TZ,-5.95,34.13,58.32,78,1,9.73,clear sky
164,Ellisras,ZA,-23.66,27.74,56.61,39,0,1.32,clear sky
165,Channel-Port Aux Basques,CA,47.57,-59.14,60.33,78,5,11.52,clear sky
166,Tsiroanomandidy,MG,-18.77,46.03,59.65,74,0,2.44,clear sky
167,Manoel Urbano,BR,-8.84,-69.26,77.36,54,0,2.53,clear sky
168,Gambo,CF,4.65,22.26,68.13,97,91,0.63,overcast clouds
169,Macas,EC,-2.32,-78.12,68.0,82,20,10.29,few clouds
170,Lodeynoye Pole,RU,60.73,33.55,55.78,93,56,6.91,broken clouds
171,Charleston,US,32.78,-79.93,80.01,88,90,8.05,thunderstorm
172,Yarmouth,US,41.71,-70.23,78.01,83,1,6.93,clear sky
173,Havelock,US,34.88,-76.9,82.4,78,20,10.29,few clouds
174,Necochea,AR,-38.55,-58.74,57.99,83,100,5.01,overcast clouds
175,Marinette,US,45.1,-87.63,82.4,69,25,4.7,scattered clouds
176,Auriflama,BR,-20.69,-50.55,70.43,43,0,12.33,clear sky
177,Olafsvik,IS,64.89,-23.71,48.67,80,27,3.56,scattered clouds
178,Cacoal,BR,-11.44,-61.45,80.55,35,0,3.2,clear sky
179,Sao Joao Da Barra,BR,-21.64,-41.05,65.61,77,30,13.35,scattered clouds
180,Pauini,BR,-7.71,-66.98,78.82,40,80,1.16,broken clouds
181,Bengkulu,ID,-3.8,102.27,75.94,80,19,5.66,few clouds
182,Brewster,US,41.4,-73.62,84.2,54,1,5.82,clear sky
183,Souillac,MU,-20.52,57.52,69.8,83,40,11.41,scattered clouds
184,Bambous Virieux,MU,-20.34,57.76,71.01,83,40,11.41,scattered clouds
185,Gonen,TR,40.1,27.65,73.4,78,0,9.17,clear sky
186,Iguguno,TZ,-4.57,34.63,61.3,71,27,11.41,scattered clouds
187,Ziway,ET,7.93,38.72,62.38,86,60,10.02,light rain
188,Soyo,AO,-6.13,12.37,72.91,89,71,4.94,broken clouds
189,Dahuk,IQ,36.87,42.99,73.76,26,0,6.08,clear sky
190,Sapuyes,CO,1.04,-77.62,49.44,95,71,3.65,light rain
191,Hobyo,SO,5.35,48.53,76.23,79,93,24.85,overcast clouds
192,Tiznit,MA,29.58,-9.5,93.29,16,29,6.73,scattered clouds
193,Gargzdai,LT,55.71,21.4,64.4,77,88,3.36,light rain
194,Talnakh,RU,69.49,88.4,55.4,87,72,6.71,broken clouds
195,Iskateley,RU,67.68,53.15,54.09,96,100,3.96,overcast clouds
196,Brae,GB,60.4,-1.35,51.8,87,68,9.17,broken clouds
197,Yanam,IN,16.73,82.22,76.82,94,100,4.07,overcast clouds
198,Shubarkuduk,KZ,49.14,56.49,62.35,55,1,5.55,clear sky
199,Ayaviri,PE,-14.89,-70.59,49.91,42,1,6.91,clear sky
200,Nicoya,CR,10.15,-85.45,77.0,94,90,6.93,shower rain
201,Catamarca,AR,-28.47,-65.79,67.05,35,5,11.7,clear sky
202,Mosetse,BW,-20.75,26.65,58.33,45,0,5.99,clear sky
203,Luxeuil-Les-Bains,FR,47.82,6.37,53.6,93,74,2.59,broken clouds
204,Pyaozerskiy,RU,65.83,31.17,52.03,77,91,8.08,overcast clouds
205,Ust-Koksa,RU,50.27,85.61,52.39,83,99,4.72,light rain
206,Reconquista,AR,-29.15,-59.65,74.64,56,100,12.01,overcast clouds
207,Labrea,BR,-7.26,-64.8,79.36,41,66,1.36,broken clouds
208,Alamor,EC,-4.02,-80.02,61.86,70,51,5.01,broken clouds
209,Berea,US,41.37,-81.85,84.99,58,40,9.17,scattered clouds
210,Lima,PE,-12.04,-77.03,62.6,77,75,17.22,broken clouds
211,Tiszasuly,HU,47.38,20.4,64.4,77,75,2.24,broken clouds
212,Takoradi,GH,4.88,-1.76,73.11,89,84,6.91,broken clouds
213,Port Blair,IN,11.67,92.75,81.19,78,100,5.66,overcast clouds
214,Nagapattinam,IN,10.77,79.83,81.1,84,100,8.99,overcast clouds
215,Sambava,MG,-14.27,50.17,71.64,81,90,9.71,light rain
216,Rodrigues Alves,BR,-7.74,-72.65,75.27,66,8,2.21,clear sky
217,Abong Mbang,CM,3.98,13.18,66.36,98,99,2.53,overcast clouds
218,Kashi,CN,39.45,75.98,78.8,27,0,6.71,clear sky
219,Lebu,CL,-37.62,-73.65,51.66,89,97,23.26,light rain
220,Sayyan,YE,15.17,44.32,66.51,48,80,2.21,broken clouds
221,Gazanjyk,TM,39.24,55.52,68.54,47,13,9.51,few clouds
222,Marsh Harbour,BS,26.54,-77.06,84.42,79,2,16.15,clear sky
223,Ullapool,GB,57.9,-5.16,50.0,88,20,1.99,few clouds
224,Nouadhibou,MR,20.93,-17.03,73.4,88,0,4.7,clear sky
225,Hithadhoo,MV,-0.6,73.08,83.21,67,100,2.73,overcast clouds
226,Carbonia,IT,39.17,8.52,75.2,88,5,6.93,clear sky
227,Turayf,SA,31.67,38.66,77.0,33,0,9.17,clear sky
228,Qaqortoq,GL,60.72,-46.03,48.2,76,23,3.36,few clouds
229,Maceio,BR,-9.67,-35.74,73.4,78,0,3.36,clear sky
230,Usogorsk,RU,63.41,48.69,53.74,95,38,3.8,scattered clouds
231,Boa Vista,BR,2.82,-60.67,84.2,62,40,5.82,scattered clouds
232,Abbeville,FR,50.1,1.83,60.01,75,100,7.34,overcast clouds
233,Severodvinsk,RU,64.56,39.83,57.2,93,40,2.24,scattered clouds
234,Rebrikha,RU,53.07,82.34,55.02,82,99,1.21,overcast clouds
235,Tortosa,ES,40.81,0.52,75.0,89,30,4.45,scattered clouds
236,Manicore,BR,-5.81,-61.3,79.59,39,0,0.4,clear sky
237,Lagoa,PT,39.05,-27.98,73.36,92,36,17.85,scattered clouds
238,Soubre,CI,5.79,-6.61,69.85,92,78,2.8,broken clouds
239,Arraial Do Cabo,BR,-22.97,-42.03,64.4,93,75,3.36,broken clouds
240,Manacapuru,BR,-3.3,-60.62,80.6,78,20,2.01,few clouds
241,Dolores,AR,-36.31,-57.68,55.96,90,89,8.63,overcast clouds
242,Valparaiso,CL,-33.04,-71.63,54.0,87,90,17.22,shower rain
243,El Alto,PE,-4.27,-81.21,60.24,84,2,21.79,clear sky
244,Muravlenko,RU,63.79,74.52,51.26,95,100,10.33,light rain
245,Vestmannaeyjar,IS,63.44,-20.27,52.07,71,90,6.78,overcast clouds
246,Kaka,TM,37.35,59.61,70.75,39,10,6.2,clear sky
247,Sohna,IN,28.25,77.07,84.0,88,40,5.82,mist
248,Rio Gallegos,AR,-51.62,-69.22,33.8,69,0,5.82,clear sky
249,Faya,SA,18.39,42.45,73.4,53,40,5.82,scattered clouds
